REF_DATE,GEO,Age group,VALUE
2008,Saskatchewan,All ages,1017368
2008,Saskatchewan,65 to 69 years,38619
2008,Saskatchewan,70 to 74 years,33186
2008,Saskatchewan,75 to 79 years,29963
2008,Saskatchewan,80 to 84 years,24087
2008,Saskatchewan,85 to 89 years,15391
2008,Saskatchewan,65 years and older,150381
2008,Saskatchewan,90 years and older,9135
2008,Alberta,All ages,3595875
2008,Alberta,65 to 69 years,111633
2008,Alberta,70 to 74 years,87948
2008,Alberta,75 to 79 years,74255
2008,Alberta,80 to 84 years,52622
2008,Alberta,85 to 89 years,30946
2008,Alberta,65 years and older,372703
2008,Alberta,90 years and older,15299
2008,British Columbia,All ages,4349338
2008,British Columbia,65 to 69 years,185171
2008,British Columbia,70 to 74 years,146691
2008,British Columbia,75 to 79 years,123617
2008,British Columbia,80 to 84 years,91077
2008,British Columbia,85 to 89 years,56206
2008,British Columbia,65 years and older,630242
2008,British Columbia,90 years and older,27480
2009,Newfoundland and Labrador,All ages,516741
2009,Newfoundland and Labrador,65 to 69 years,25141
2009,Newfoundland and Labrador,70 to 74 years,18779
2009,Newfoundland and Labrador,75 to 79 years,14096
2009,Newfoundland and Labrador,80 to 84 years,9643
2009,Newfoundland and Labrador,85 to 89 years,5507
2009,Newfoundland and Labrador,65 years and older,75784
2009,Newfoundland and Labrador,90 years and older,2618
2009,Prince Edward Island,All ages,139873
2009,Prince Edward Island,65 to 69 years,6528
2009,Prince Edward Island,70 to 74 years,5102
2009,Prince Edward Island,75 to 79 years,4061
2009,Prince Edward Island,80 to 84 years,2899
2009,Prince Edward Island,85 to 89 years,1818
2009,Prince Edward Island,65 years and older,21404
2009,Prince Edward Island,90 years and older,996
2009,Nova Scotia,All ages,938266
2009,Nova Scotia,65 to 69 years,45226
2009,Nova Scotia,70 to 74 years,34512
2009,Nova Scotia,75 to 79 years,27140
2009,Nova Scotia,80 to 84 years,19706
2009,Nova Scotia,85 to 89 years,12916
2009,Nova Scotia,65 years and older,146601
2009,Nova Scotia,90 years and older,7101
2009,New Brunswick,All ages,749956
2009,New Brunswick,65 to 69 years,35822
2009,New Brunswick,70 to 74 years,26797
2009,New Brunswick,75 to 79 years,21454
2009,New Brunswick,80 to 84 years,16042
2009,New Brunswick,85 to 89 years,10244
2009,New Brunswick,65 years and older,115845
2009,New Brunswick,90 years and older,5486
2009,Quebec,All ages,7843915
2009,Quebec,65 to 69 years,365936
2009,Quebec,70 to 74 years,270840
2009,Quebec,75 to 79 years,228991
2009,Quebec,80 to 84 years,165977
2009,Quebec,85 to 89 years,94341
2009,Quebec,65 years and older,1169954
2009,Quebec,90 years and older,43869
2009,Ontario,All ages,12998941
2009,Ontario,65 to 69 years,525446
2009,Ontario,70 to 74 years,419677
2009,Ontario,75 to 79 years,350230
2009,Ontario,80 to 84 years,260727
2009,Ontario,85 to 89 years,156876
2009,Ontario,65 years and older,1782737
2009,Ontario,90 years and older,69781
2009,Manitoba,All ages,1208555
2009,Manitoba,65 to 69 years,46879
2009,Manitoba,70 to 74 years,36653
2009,Manitoba,75 to 79 years,31922
2009,Manitoba,80 to 84 years,25417
2009,Manitoba,85 to 89 years,16994
2009,Manitoba,65 years and older,167234
