REF_DATE,GEO,Age group,VALUE
2015,Ontario,85 to 89 years,183097
2015,Ontario,65 years and older,2187820
2015,Ontario,90 years and older,107173
2015,Manitoba,All ages,1293598
2015,Manitoba,65 to 69 years,62258
2015,Manitoba,70 to 74 years,43883
2015,Manitoba,75 to 79 years,32087
2015,Manitoba,80 to 84 years,24732
2015,Manitoba,85 to 89 years,17027
2015,Manitoba,65 years and older,191466
2015,Manitoba,90 years and older,11479
2015,Saskatchewan,All ages,1122210
2015,Saskatchewan,65 to 69 years,51194
2015,Saskatchewan,70 to 74 years,36439
2015,Saskatchewan,75 to 79 years,28329
2015,Saskatchewan,80 to 84 years,22977
2015,Saskatchewan,85 to 89 years,16041
2015,Saskatchewan,65 years and older,165795
2015,Saskatchewan,90 years and older,10815
2015,Alberta,All ages,4150147
2015,Alberta,65 to 69 years,166325
2015,Alberta,70 to 74 years,112395
2015,Alberta,75 to 79 years,81500
2015,Alberta,80 to 84 years,61126
2015,Alberta,85 to 89 years,38523
2015,Alberta,65 years and older,481867
2015,Alberta,90 years and older,21998
2015,British Columbia,All ages,4765472
2015,British Columbia,65 to 69 years,274400
2015,British Columbia,70 to 74 years,192357
2015,British Columbia,75 to 79 years,137857
2015,British Columbia,80 to 84 years,102426
2015,British Columbia,85 to 89 years,65339
2015,British Columbia,65 years and older,812892
2015,British Columbia,90 years and older,40513
2016,Newfoundland and Labrador,All ages,529586
2016,Newfoundland and Labrador,65 to 69 years,37177
2016,Newfoundland and Labrador,70 to 74 years,26037
2016,Newfoundland and Labrador,75 to 79 years,16680
2016,Newfoundland and Labrador,80 to 84 years,10898
2016,Newfoundland and Labrador,85 to 89 years,6088
2016,Newfoundland and Labrador,65 years and older,100234
2016,Newfoundland and Labrador,90 years and older,3354
2016,Prince Edward Island,All ages,146891
2016,Prince Edward Island,65 to 69 years,9948
2016,Prince Edward Island,70 to 74 years,6711
2016,Prince Edward Island,75 to 79 years,4686
2016,Prince Edward Island,80 to 84 years,3369
2016,Prince Edward Island,85 to 89 years,1902
2016,Prince Edward Island,65 years and older,27845
2016,Prince Edward Island,90 years and older,1229
2016,Nova Scotia,All ages,942984
2016,Nova Scotia,65 to 69 years,63488
2016,Nova Scotia,70 to 74 years,45170
2016,Nova Scotia,75 to 79 years,31309
2016,Nova Scotia,80 to 84 years,21730
2016,Nova Scotia,85 to 89 years,13149
2016,Nova Scotia,65 years and older,183174
2016,Nova Scotia,90 years and older,8328
2016,New Brunswick,All ages,763322
2016,New Brunswick,65 to 69 years,52245
2016,New Brunswick,70 to 74 years,36338
2016,New Brunswick,75 to 79 years,25290
2016,New Brunswick,80 to 84 years,17561
2016,New Brunswick,85 to 89 years,10689
2016,New Brunswick,65 years and older,149103
2016,New Brunswick,90 years and older,6980
2016,Quebec,All ages,8225036
2016,Quebec,65 to 69 years,482801
2016,Quebec,70 to 74 years,369141
2016,Quebec,75 to 79 years,252491
2016,Quebec,80 to 84 years,183765
2016,Quebec,85 to 89 years,119129
2016,Quebec,65 years and older,1476397
2016,Quebec,90 years and older,69070
2016,Ontario,All ages,13876500
2016,Ontario,65 to 69 years,739672
2016,Ontario,70 to 74 years,534016
2016,Ontario,75 to 79 years,393482
2016,Ontario,80 to 84 years,290826
2016,Ontario,85 to 89 years,188801
2016,Ontario,65 years and older,2260652
2016,Ontario,90 years and older,113855
2016,Manitoba,All ages,1314140
2016,Manitoba,65 to 69 years,64237
2016,Manitoba,70 to 74 years,45664
2016,Manitoba,75 to 79 years,32963
2016,Manitoba,80 to 84 years,24781
2016,Manitoba,85 to 89 years,17085
2016,Manitoba,65 years and older,196504
2016,Manitoba,90 years and older,11774
2016,Saskatchewan,All ages,1135496
2016,Saskatchewan,65 to 69 years,53085
2016,Saskatchewan,70 to 74 years,37579
2016,Saskatchewan,75 to 79 years,28946
2016,Saskatchewan,80 to 84 years,22704
2016,Saskatchewan,85 to 89 years,16054
2016,Saskatchewan,65 years and older,169408
2016,Saskatchewan,90 years and older,11040
2016,Alberta,All ages,4195427
2016,Alberta,65 to 69 years,174499
2016,Alberta,70 to 74 years,118278
2016,Alberta,75 to 79 years,84086
2016,Alberta,80 to 84 years,62091
2016,Alberta,85 to 89 years,40038
2016,Alberta,65 years and older,502101
2016,Alberta,90 years and older,23109
2016,British Columbia,All ages,4861269
2016,British Columbia,65 to 69 years,287927
2016,British Columbia,70 to 74 years,201602
2016,British Columbia,75 to 79 years,143037
2016,British Columbia,80 to 84 years,103881
2016,British Columbia,85 to 89 years,67248
2016,British Columbia,65 years and older,845515
2016,British Columbia,90 years and older,41820
2017,Newfoundland and Labrador,All ages,529742
2017,Newfoundland and Labrador,65 to 69 years,37953
2017,Newfoundland and Labrador,70 to 74 years,28285
2017,Newfoundland and Labrador,75 to 79 years,17444
2017,Newfoundland and Labrador,80 to 84 years,11283
2017,Newfoundland and Labrador,85 to 89 years,6209
2017,Newfoundland and Labrador,65 years and older,104491
2017,Newfoundland and Labrador,90 years and older,3317
2017,Prince Edward Island,All ages,149740
2017,Prince Edward Island,65 to 69 years,9837
2017,Prince Edward Island,70 to 74 years,7431
2017,Prince Edward Island,75 to 79 years,4832
2017,Prince Edward Island,80 to 84 years,3464
2017,Prince Edward Island,85 to 89 years,1973
2017,Prince Edward Island,65 years and older,28797
2017,Prince Edward Island,90 years and older,1260
2017,Nova Scotia,All ages,952159
2017,Nova Scotia,65 to 69 years,63485
2017,Nova Scotia,70 to 74 years,49177
2017,Nova Scotia,75 to 79 years,32790
2017,Nova Scotia,80 to 84 years,22149
2017,Nova Scotia,85 to 89 years,13470
2017,Nova Scotia,65 years and older,189342
2017,Nova Scotia,90 years and older,8271
2017,New Brunswick,All ages,766697
2017,New Brunswick,65 to 69 years,52690
2017,New Brunswick,70 to 74 years,39480
2017,New Brunswick,75 to 79 years,26554
2017,New Brunswick,80 to 84 years,17664
2017,New Brunswick,85 to 89 years,11072
2017,New Brunswick,65 years and older,154387
2017,New Brunswick,90 years and older,6927
2017,Quebec,All ages,8292832
2017,Quebec,65 to 69 years,489292
2017,Quebec,70 to 74 years,390072
2017,Quebec,75 to 79 years,265423
2017,Quebec,80 to 84 years,183903
2017,Quebec,85 to 89 years,123108
2017,Quebec,65 years and older,1523503
2017,Quebec,90 years and older,71705
2017,Ontario,All ages,14078499
2017,Ontario,65 to 69 years,745100
2017,Ontario,70 to 74 years,577854
2017,Ontario,75 to 79 years,407989
2017,Ontario,80 to 84 years,295142
2017,Ontario,85 to 89 years,193322
2017,Ontario,65 years and older,2338020
2017,Ontario,90 years and older,118613
2017,Manitoba,All ages,1334734
2017,Manitoba,65 to 69 years,65229
2017,Manitoba,70 to 74 years,49239
2017,Manitoba,75 to 79 years,34050
2017,Manitoba,80 to 84 years,24590
2017,Manitoba,85 to 89 years,17170
2017,Manitoba,65 years and older,202106
2017,Manitoba,90 years and older,11828
2017,Saskatchewan,All ages,1147315
2017,Saskatchewan,65 to 69 years,54519
2017,Saskatchewan,70 to 74 years,40175
2017,Saskatchewan,75 to 79 years,29486
2017,Saskatchewan,80 to 84 years,22536
2017,Saskatchewan,85 to 89 years,16055
2017,Saskatchewan,65 years and older,173940
2017,Saskatchewan,90 years and older,11169
2017,Alberta,All ages,4237310
2017,Alberta,65 to 69 years,179621
2017,Alberta,70 to 74 years,128695
2017,Alberta,75 to 79 years,87595
2017,Alberta,80 to 84 years,62923
2017,Alberta,85 to 89 years,41036
2017,Alberta,65 years and older,524103
2017,Alberta,90 years and older,24233
2017,British Columbia,All ages,4934202
2017,British Columbia,65 to 69 years,291658
2017,British Columbia,70 to 74 years,219245
2017,British Columbia,75 to 79 years,149493
2017,British Columbia,80 to 84 years,105535
2017,British Columbia,85 to 89 years,68812
2017,British Columbia,65 years and older,877408
2017,British Columbia,90 years and older,42665
2018,Newfoundland and Labrador,All ages,528402
2018,Newfoundland and Labrador,65 to 69 years,38789
2018,Newfoundland and Labrador,70 to 74 years,30310
2018,Newfoundland and Labrador,75 to 79 years,18492
2018,Newfoundland and Labrador,80 to 84 years,11741
2018,Newfoundland and Labrador,85 to 89 years,6356
2018,Newfoundland and Labrador,65 years and older,109050
2018,Newfoundland and Labrador,90 years and older,3362
2018,Prince Edward Island,All ages,152259
2018,Prince Edward Island,65 to 69 years,9803
2018,Prince Edward Island,70 to 74 years,8162
2018,Prince Edward Island,75 to 79 years,4989
2018,Prince Edward Island,80 to 84 years,3469
2018,Prince Edward Island,85 to 89 years,2061
2018,Prince Edward Island,65 years and older,29744
2018,Prince Edward Island,90 years and older,1260
2018,Nova Scotia,All ages,962072
2018,Nova Scotia,65 to 69 years,63816
2018,Nova Scotia,70 to 74 years,52590
2018,Nova Scotia,75 to 79 years,34381
2018,Nova Scotia,80 to 84 years,22809
2018,Nova Scotia,85 to 89 years,13710
2018,Nova Scotia,65 years and older,195652
2018,Nova Scotia,90 years and older,8346
2018,New Brunswick,All ages,770497
2018,New Brunswick,65 to 69 years,53469
2018,New Brunswick,70 to 74 years,42286
2018,New Brunswick,75 to 79 years,27865
2018,New Brunswick,80 to 84 years,18096
2018,New Brunswick,85 to 89 years,11253
2018,New Brunswick,65 years and older,159916
2018,New Brunswick,90 years and older,6947
2018,Quebec,All ages,8386951
2018,Quebec,65 to 69 years,497442
2018,Quebec,70 to 74 years,407676
2018,Quebec,75 to 79 years,279913
2018,Quebec,80 to 84 years,186053
2018,Quebec,85 to 89 years,125353
2018,Quebec,65 years and older,1570579
2018,Quebec,90 years and older,74142
2018,Ontario,All ages,14326746
2018,Ontario,65 to 69 years,756942
2018,Ontario,70 to 74 years,613234
2018,Ontario,75 to 79 years,425201
2018,Ontario,80 to 84 years,301177
2018,Ontario,85 to 89 years,197140
2018,Ontario,65 years and older,2416265
2018,Ontario,90 years and older,122571
2018,Manitoba,All ages,1352687
2018,Manitoba,65 to 69 years,66695
2018,Manitoba,70 to 74 years,52145
2018,Manitoba,75 to 79 years,35467
2018,Manitoba,80 to 84 years,24877
2018,Manitoba,85 to 89 years,16954
2018,Manitoba,65 years and older,208090
2018,Manitoba,90 years and older,11952
2018,Saskatchewan,All ages,1156210
2018,Saskatchewan,65 to 69 years,56485
2018,Saskatchewan,70 to 74 years,42282
2018,Saskatchewan,75 to 79 years,30283
2018,Saskatchewan,80 to 84 years,22671
2018,Saskatchewan,85 to 89 years,15998
2018,Saskatchewan,65 years and older,179039
2018,Saskatchewan,90 years and older,11320
2018,Alberta,All ages,4292556
2018,Alberta,65 to 69 years,186888
2018,Alberta,70 to 74 years,138322
2018,Alberta,75 to 79 years,92167
2018,Alberta,80 to 84 years,64194
2018,Alberta,85 to 89 years,42067
2018,Alberta,65 years and older,548657
2018,Alberta,90 years and older,25019
2018,British Columbia,All ages,5020979
2018,British Columbia,65 to 69 years,296651
2018,British Columbia,70 to 74 years,233821
2018,British Columbia,75 to 79 years,157910
2018,British Columbia,80 to 84 years,108006
2018,British Columbia,85 to 89 years,70229
2018,British Columbia,65 years and older,910405
2018,British Columbia,90 years and older,43788
2019,Newfoundland and Labrador,All ages,527643
2019,Newfoundland and Labrador,65 to 69 years,39747
2019,Newfoundland and Labrador,70 to 74 years,32081
2019,Newfoundland and Labrador,75 to 79 years,19706
2019,Newfoundland and Labrador,80 to 84 years,12284
2019,Newfoundland and Labrador,85 to 89 years,6539
2019,Newfoundland and Labrador,65 years and older,113764
2019,Newfoundland and Labrador,90 years and older,3407
2019,Prince Edward Island,All ages,155792
2019,Prince Edward Island,65 to 69 years,9995
2019,Prince Edward Island,70 to 74 years,8543
2019,Prince Edward Island,75 to 79 years,5336
2019,Prince Edward Island,80 to 84 years,3558
2019,Prince Edward Island,85 to 89 years,2165
2019,Prince Edward Island,65 years and older,30875
2019,Prince Edward Island,90 years and older,1278
2019,Nova Scotia,All ages,975799
2019,Nova Scotia,65 to 69 years,65384
2019,Nova Scotia,70 to 74 years,55295
2019,Nova Scotia,75 to 79 years,36076
2019,Nova Scotia,80 to 84 years,23645
2019,Nova Scotia,85 to 89 years,13962
2019,Nova Scotia,65 years and older,202688
2019,Nova Scotia,90 years and older,8326
2019,New Brunswick,All ages,777387
2019,New Brunswick,65 to 69 years,54592
2019,New Brunswick,70 to 74 years,44841
2019,New Brunswick,75 to 79 years,29239
2019,New Brunswick,80 to 84 years,18886
2019,New Brunswick,85 to 89 years,11398
2019,New Brunswick,65 years and older,165909
2019,New Brunswick,90 years and older,6953
2019,Quebec,All ages,8483186
2019,Quebec,65 to 69 years,509295
2019,Quebec,70 to 74 years,423869
2019,Quebec,75 to 79 years,295088
2019,Quebec,80 to 84 years,191108
2019,Quebec,85 to 89 years,126747
2019,Quebec,65 years and older,1622802
2019,Quebec,90 years and older,76695
2019,Ontario,All ages,14573565
2019,Ontario,65 to 69 years,777699
2019,Ontario,70 to 74 years,644105
2019,Ontario,75 to 79 years,442888
2019,Ontario,80 to 84 years,310557
2019,Ontario,85 to 89 years,200510
2019,Ontario,65 years and older,2502351
2019,Ontario,90 years and older,126592
2019,Manitoba,All ages,1370033
2019,Manitoba,65 to 69 years,69029
2019,Manitoba,70 to 74 years,54896
2019,Manitoba,75 to 79 years,36991
2019,Manitoba,80 to 84 years,25431
2019,Manitoba,85 to 89 years,16859
2019,Manitoba,65 years and older,215278
2019,Manitoba,90 years and older,12072
2019,Saskatchewan,All ages,1164223
2019,Saskatchewan,65 to 69 years,59407
2019,Saskatchewan,70 to 74 years,44644
2019,Saskatchewan,75 to 79 years,31168
2019,Saskatchewan,80 to 84 years,22656
2019,Saskatchewan,85 to 89 years,16118
2019,Saskatchewan,65 years and older,185352
2019,Saskatchewan,90 years and older,11359
2019,Alberta,All ages,4355377
2019,Alberta,65 to 69 years,197901
2019,Alberta,70 to 74 years,147519
2019,Alberta,75 to 79 years,97316
2019,Alberta,80 to 84 years,65902
2019,Alberta,85 to 89 years,42997
2019,Alberta,65 years and older,577725
2019,Alberta,90 years and older,26090
2019,British Columbia,All ages,5111022
2019,British Columbia,65 to 69 years,304234
2019,British Columbia,70 to 74 years,246439
2019,British Columbia,75 to 79 years,167020
2019,British Columbia,80 to 84 years,111554
2019,British Columbia,85 to 89 years,71449
2019,British Columbia,65 years and older,945713
2019,British Columbia,90 years and older,45017
2020,Newfoundland and Labrador,All ages,526884
2020,Newfoundland and Labrador,65 to 69 years,40502
2020,Newfoundland and Labrador,70 to 74 years,33967
2020,Newfoundland and Labrador,75 to 79 years,20885
2020,Newfoundland and Labrador,80 to 84 years,12926
2020,Newfoundland and Labrador,85 to 89 years,6665
2020,Newfoundland and Labrador,65 years and older,118470
2020,Newfoundland and Labrador,90 years and older,3525
2020,Prince Edward Island,All ages,159193
2020,Prince Edward Island,65 to 69 years,10211
2020,Prince Edward Island,70 to 74 years,9012
2020,Prince Edward Island,75 to 79 years,5590
2020,Prince Edward Island,80 to 84 years,3667
2020,Prince Edward Island,85 to 89 years,2206
2020,Prince Edward Island,65 years and older,31993
2020,Prince Edward Island,90 years and older,1307
2020,Nova Scotia,All ages,989168
2020,Nova Scotia,65 to 69 years,67272
2020,Nova Scotia,70 to 74 years,57837
2020,Nova Scotia,75 to 79 years,37879
2020,Nova Scotia,80 to 84 years,24392
2020,Nova Scotia,85 to 89 years,14415
2020,Nova Scotia,65 years and older,210159
2020,Nova Scotia,90 years and older,8364
2020,New Brunswick,All ages,783432
2020,New Brunswick,65 to 69 years,56085
2020,New Brunswick,70 to 74 years,47354
2020,New Brunswick,75 to 79 years,30654
2020,New Brunswick,80 to 84 years,19598
2020,New Brunswick,85 to 89 years,11619
2020,New Brunswick,65 years and older,172296
2020,New Brunswick,90 years and older,6986
2020,Quebec,All ages,8551095
2020,Quebec,65 to 69 years,524512
2020,Quebec,70 to 74 years,435879
2020,Quebec,75 to 79 years,311152
2020,Quebec,80 to 84 years,197043
2020,Quebec,85 to 89 years,126744
2020,Quebec,65 years and older,1673371
2020,Quebec,90 years and older,78041
2020,Ontario,All ages,14761811
2020,Ontario,65 to 69 years,802466
2020,Ontario,70 to 74 years,674042
2020,Ontario,75 to 79 years,458502
2020,Ontario,80 to 84 years,319071
2020,Ontario,85 to 89 years,203209
2020,Ontario,65 years and older,2587513
2020,Ontario,90 years and older,130223
2020,Manitoba,All ages,1380132
2020,Manitoba,65 to 69 years,71459
2020,Manitoba,70 to 74 years,57722
2020,Manitoba,75 to 79 years,38474
2020,Manitoba,80 to 84 years,25973
2020,Manitoba,85 to 89 years,16720
2020,Manitoba,65 years and older,222516
2020,Manitoba,90 years and older,12168
2020,Saskatchewan,All ages,1167386
2020,Saskatchewan,65 to 69 years,62572
2020,Saskatchewan,70 to 74 years,46981
2020,Saskatchewan,75 to 79 years,32228
2020,Saskatchewan,80 to 84 years,22928
2020,Saskatchewan,85 to 89 years,15810
2020,Saskatchewan,65 years and older,192121
2020,Saskatchewan,90 years and older,11602
2020,Alberta,All ages,4407495
2020,Alberta,65 to 69 years,209036
2020,Alberta,70 to 74 years,157294
2020,Alberta,75 to 79 years,101761
2020,Alberta,80 to 84 years,67879
2020,Alberta,85 to 89 years,43866
2020,Alberta,65 years and older,606936
2020,Alberta,90 years and older,27100
2020,British Columbia,All ages,5176101
2020,British Columbia,65 to 69 years,312153
2020,British Columbia,70 to 74 years,260883
2020,British Columbia,75 to 79 years,174713
2020,British Columbia,80 to 84 years,115908
2020,British Columbia,85 to 89 years,72521
2020,British Columbia,65 years and older,982576
2020,British Columbia,90 years and older,46398
2021,Newfoundland and Labrador,All ages,527056
2021,Newfoundland and Labrador,65 to 69 years,41033
2021,Newfoundland and Labrador,70 to 74 years,34861
2021,Newfoundland and Labrador,75 to 79 years,23132
2021,Newfoundland and Labrador,80 to 84 years,13632
2021,Newfoundland and Labrador,85 to 89 years,6941
2021,Newfoundland and Labrador,65 years and older,123208
2021,Newfoundland and Labrador,90 years and older,3609
2021,Prince Edward Island,All ages,162133
2021,Prince Edward Island,65 to 69 years,10630
2021,Prince Edward Island,70 to 74 years,9252
2021,Prince Edward Island,75 to 79 years,5955
2021,Prince Edward Island,80 to 84 years,3805
2021,Prince Edward Island,85 to 89 years,2295
2021,Prince Edward Island,65 years and older,33293
2021,Prince Edward Island,90 years and older,1356
2021,Nova Scotia,All ages,999908
2021,Nova Scotia,65 to 69 years,69075
2021,Nova Scotia,70 to 74 years,59659
2021,Nova Scotia,75 to 79 years,40152
2021,Nova Scotia,80 to 84 years,25470
2021,Nova Scotia,85 to 89 years,14752
2021,Nova Scotia,65 years and older,217785
2021,Nova Scotia,90 years and older,8677
2021,New Brunswick,All ages,790802
2021,New Brunswick,65 to 69 years,57554
2021,New Brunswick,70 to 74 years,49005
2021,New Brunswick,75 to 79 years,32256
2021,New Brunswick,80 to 84 years,20644
2021,New Brunswick,85 to 89 years,11915
2021,New Brunswick,65 years and older,178652
2021,New Brunswick,90 years and older,7278
2021,Quebec,All ages,8572020
2021,Quebec,65 to 69 years,537240
2021,Quebec,70 to 74 years,447014
2021,Quebec,75 to 79 years,326767
2021,Quebec,80 to 84 years,206808
2021,Quebec,85 to 89 years,127681
2021,Quebec,65 years and older,1727292
2021,Quebec,90 years and older,81782
2021,Ontario,All ages,14842488
2021,Ontario,65 to 69 years,825560
2021,Ontario,70 to 74 years,696597
2021,Ontario,75 to 79 years,478944
2021,Ontario,80 to 84 years,328235
2021,Ontario,85 to 89 years,206639
2021,Ontario,65 years and older,2671337
2021,Ontario,90 years and older,135362
2021,Manitoba,All ages,1391924
2021,Manitoba,65 to 69 years,73501
2021,Manitoba,70 to 74 years,59844
2021,Manitoba,75 to 79 years,40149
2021,Manitoba,80 to 84 years,26848
2021,Manitoba,85 to 89 years,16879
2021,Manitoba,65 years and older,229374
2021,Manitoba,90 years and older,12153
2021,Saskatchewan,All ages,1167711
2021,Saskatchewan,65 to 69 years,65408
2021,Saskatchewan,70 to 74 years,49114
2021,Saskatchewan,75 to 79 years,33272
2021,Saskatchewan,80 to 84 years,23372
2021,Saskatchewan,85 to 89 years,15783
2021,Saskatchewan,65 years and older,198565
2021,Saskatchewan,90 years and older,11616
2021,Alberta,All ages,4431531
2021,Alberta,65 to 69 years,220755
2021,Alberta,70 to 74 years,165232
2021,Alberta,75 to 79 years,107160
2021,Alberta,80 to 84 years,70535
2021,Alberta,85 to 89 years,44335
2021,Alberta,65 years and older,636049
2021,Alberta,90 years and older,28032
2021,British Columbia,All ages,5226665
2021,British Columbia,65 to 69 years,320767
2021,British Columbia,70 to 74 years,271722
2021,British Columbia,75 to 79 years,182468
2021,British Columbia,80 to 84 years,121067
2021,British Columbia,85 to 89 years,73685
2021,British Columbia,65 years and older,1018096
2021,British Columbia,90 years and older,48387
2022,Newfoundland and Labrador,All ages,531257
2022,Newfoundland and Labrador,65 to 69 years,41463
2022,Newfoundland and Labrador,70 to 74 years,35558
2022,Newfoundland and Labrador,75 to 79 years,25004
2022,Newfoundland and Labrador,80 to 84 years,14070
2022,Newfoundland and Labrador,85 to 89 years,7237
2022,Newfoundland and Labrador,65 years and older,126975
2022,Newfoundland and Labrador,90 years and older,3643
2022,Prince Edward Island,All ages,167200
2022,Prince Edward Island,65 to 69 years,10923
2022,Prince Edward Island,70 to 74 years,9314
2022,Prince Edward Island,75 to 79 years,6669
2022,Prince Edward Island,80 to 84 years,3941
2022,Prince Edward Island,85 to 89 years,2303
2022,Prince Edward Island,65 years and older,34523
2022,Prince Edward Island,90 years and older,1373
2022,Nova Scotia,All ages,1024034
2022,Nova Scotia,65 to 69 years,71496
2022,Nova Scotia,70 to 74 years,59690
2022,Nova Scotia,75 to 79 years,43772
2022,Nova Scotia,80 to 84 years,26534
2022,Nova Scotia,85 to 89 years,14985
2022,Nova Scotia,65 years and older,225308
2022,Nova Scotia,90 years and older,8831
2022,New Brunswick,All ages,808869
2022,New Brunswick,65 to 69 years,59334
2022,New Brunswick,70 to 74 years,49662
2022,New Brunswick,75 to 79 years,35079
2022,New Brunswick,80 to 84 years,21673
2022,New Brunswick,85 to 89 years,12075
2022,New Brunswick,65 years and older,185107
2022,New Brunswick,90 years and older,7284
2022,Quebec,All ages,8669963
2022,Quebec,65 to 69 years,556021
2022,Quebec,70 to 74 years,454218
2022,Quebec,75 to 79 years,346730
2022,Quebec,80 to 84 years,217344
2022,Quebec,85 to 89 years,128237
2022,Quebec,65 years and older,1787639
2022,Quebec,90 years and older,85089
2022,Ontario,All ages,15155836
2022,Ontario,65 to 69 years,853896
2022,Ontario,70 to 74 years,701037
2022,Ontario,75 to 79 years,519079
2022,Ontario,80 to 84 years,339967
2022,Ontario,85 to 89 years,210035
2022,Ontario,65 years and older,2763435
2022,Ontario,90 years and older,139421
2022,Manitoba,All ages,1413498
2022,Manitoba,65 to 69 years,75763
2022,Manitoba,70 to 74 years,60491
2022,Manitoba,75 to 79 years,43294
2022,Manitoba,80 to 84 years,27733
2022,Manitoba,85 to 89 years,16769
2022,Manitoba,65 years and older,236133
2022,Manitoba,90 years and older,12083
2022,Saskatchewan,All ages,1178796
2022,Saskatchewan,65 to 69 years,67777
2022,Saskatchewan,70 to 74 years,50462
2022,Saskatchewan,75 to 79 years,35546
2022,Saskatchewan,80 to 84 years,23892
2022,Saskatchewan,85 to 89 years,15406
2022,Saskatchewan,65 years and older,204647
2022,Saskatchewan,90 years and older,11564
2022,Alberta,All ages,4512731
2022,Alberta,65 to 69 years,232709
2022,Alberta,70 to 74 years,170911
2022,Alberta,75 to 79 years,117384
2022,Alberta,80 to 84 years,73515
2022,Alberta,85 to 89 years,44923
2022,Alberta,65 years and older,668205
2022,Alberta,90 years and older,28763
2022,British Columbia,All ages,5358845
2022,British Columbia,65 to 69 years,329766
2022,British Columbia,70 to 74 years,275553
2022,British Columbia,75 to 79 years,197916
2022,British Columbia,80 to 84 years,126014
2022,British Columbia,85 to 89 years,75344
2022,British Columbia,65 years and older,1054174
2022,British Columbia,90 years and older,49581
2023,Newfoundland and Labrador,All ages,538789
2023,Newfoundland and Labrador,65 to 69 years,41900
2023,Newfoundland and Labrador,70 to 74 years,36265
2023,Newfoundland and Labrador,75 to 79 years,26697
2023,Newfoundland and Labrador,80 to 84 years,14825
2023,Newfoundland and Labrador,85 to 89 years,7558
2023,Newfoundland and Labrador,65 years and older,130952
2023,Newfoundland and Labrador,90 years and older,3707
2023,Prince Edward Island,All ages,173734
2023,Prince Edward Island,65 to 69 years,11235
2023,Prince Edward Island,70 to 74 years,9368
2023,Prince Edward Island,75 to 79 years,7315
2023,Prince Edward Island,80 to 84 years,4039
2023,Prince Edward Island,85 to 89 years,2378
2023,Prince Edward Island,65 years and older,35729
2023,Prince Edward Island,90 years and older,1394
2023,Nova Scotia,All ages,1053005
2023,Nova Scotia,65 to 69 years,73648
2023,Nova Scotia,70 to 74 years,60095
2023,Nova Scotia,75 to 79 years,46683
2023,Nova Scotia,80 to 84 years,27796
2023,Nova Scotia,85 to 89 years,15491
2023,Nova Scotia,65 years and older,232630
2023,Nova Scotia,90 years and older,8917
2023,New Brunswick,All ages,831103
2023,New Brunswick,65 to 69 years,60706
2023,New Brunswick,70 to 74 years,50598
2023,New Brunswick,75 to 79 years,37640
2023,New Brunswick,80 to 84 years,22666
2023,New Brunswick,85 to 89 years,12367
2023,New Brunswick,65 years and older,191378
2023,New Brunswick,90 years and older,7401
2023,Quebec,All ages,8821696
2023,Quebec,65 to 69 years,574137
2023,Quebec,70 to 74 years,463502
2023,Quebec,75 to 79 years,363049
2023,Quebec,80 to 84 years,229499
2023,Quebec,85 to 89 years,129773
2023,Quebec,65 years and older,1847289
2023,Quebec,90 years and older,87329
2023,Ontario,All ages,15632481
2023,Ontario,65 to 69 years,881852
2023,Ontario,70 to 74 years,712808
2023,Ontario,75 to 79 years,552695
2023,Ontario,80 to 84 years,354076
2023,Ontario,85 to 89 years,215612
2023,Ontario,65 years and older,2859636
2023,Ontario,90 years and older,142593
2023,Manitoba,All ages,1453202
2023,Manitoba,65 to 69 years,77968
2023,Manitoba,70 to 74 years,61826
2023,Manitoba,75 to 79 years,46002
2023,Manitoba,80 to 84 years,28878
2023,Manitoba,85 to 89 years,17097
2023,Manitoba,65 years and older,243724
2023,Manitoba,90 years and older,11953
2023,Saskatchewan,All ages,1210257
2023,Saskatchewan,65 to 69 years,69887
2023,Saskatchewan,70 to 74 years,52702
2023,Saskatchewan,75 to 79 years,37384
2023,Saskatchewan,80 to 84 years,24565
2023,Saskatchewan,85 to 89 years,15588
2023,Saskatchewan,65 years and older,211510
2023,Saskatchewan,90 years and older,11384
2023,Alberta,All ages,4688576
2023,Alberta,65 to 69 years,244981
2023,Alberta,70 to 74 years,179464
2023,Alberta,75 to 79 years,127297
2023,Alberta,80 to 84 years,77515
2023,Alberta,85 to 89 years,46150
2023,Alberta,65 years and older,705070
2023,Alberta,90 years and older,29663
2023,British Columbia,All ages,5515296
2023,British Columbia,65 to 69 years,337831
2023,British Columbia,70 to 74 years,280706
2023,British Columbia,75 to 79 years,211411
2023,British Columbia,80 to 84 years,132452
2023,British Columbia,85 to 89 years,77769
2023,British Columbia,65 years and older,1090768
2023,British Columbia,90 years and older,50599
2024,Newfoundland and Labrador,All ages,546869
2024,Newfoundland and Labrador,65 to 69 years,42080
2024,Newfoundland and Labrador,70 to 74 years,37202
2024,Newfoundland and Labrador,75 to 79 years,28117
2024,Newfoundland and Labrador,80 to 84 years,15717
2024,Newfoundland and Labrador,85 to 89 years,7959
2024,Newfoundland and Labrador,65 years and older,134891
2024,Newfoundland and Labrador,90 years and older,3816
2024,Prince Edward Island,All ages,179709
2024,Prince Edward Island,65 to 69 years,11318
2024,Prince Edward Island,70 to 74 years,9600
2024,Prince Edward Island,75 to 79 years,7713
2024,Prince Edward Island,80 to 84 years,4332
2024,Prince Edward Island,85 to 89 years,2442
2024,Prince Edward Island,65 years and older,36849
