REF_DATE,GEO,DGUID,Gender,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020,Prince Edward Island,2021A000211,Men+,65 years and older,Persons,249,units,0,v467317,3.2.104,14631,,,,0
2020,Prince Edward Island,2021A000211,Women+,65 years and older,Persons,249,units,0,v467318,3.3.104,17362,,,,0
2020,Nova Scotia,2021A000212,Total - gender,65 years and older,Persons,249,units,0,v467631,4.1.104,210159,,,,0
2020,Nova Scotia,2021A000212,Men+,65 years and older,Persons,249,units,0,v467632,4.2.104,96737,,,,0
2020,Nova Scotia,2021A000212,Women+,65 years and older,Persons,249,units,0,v467633,4.3.104,113422,,,,0
2020,New Brunswick,2021A000213,Total - gender,65 years and older,Persons,249,units,0,v467946,5.1.104,172296,,,,0
2020,New Brunswick,2021A000213,Men+,65 years and older,Persons,249,units,0,v467947,5.2.104,79980,,,,0
2020,New Brunswick,2021A000213,Women+,65 years and older,Persons,249,units,0,v467948,5.3.104,92316,,,,0
2020,Quebec,2021A000224,Total - gender,65 years and older,Persons,249,units,0,v468261,6.1.104,1673371,,,,0
2020,Quebec,2021A000224,Men+,65 years and older,Persons,249,units,0,v468262,6.2.104,771238,,,,0
2020,Quebec,2021A000224,Women+,65 years and older,Persons,249,units,0,v468263,6.3.104,902133,,,,0
2020,Ontario,2021A000235,Total - gender,65 years and older,Persons,249,units,0,v468576,7.1.104,2587513,,,,0
2020,Ontario,2021A000235,Men+,65 years and older,Persons,249,units,0,v468577,7.2.104,1175210,,,,0
2020,Ontario,2021A000235,Women+,65 years and older,Persons,249,units,0,v468578,7.3.104,1412303,,,,0
2020,Manitoba,2021A000246,Total - gender,65 years and older,Persons,249,units,0,v468891,8.1.104,222516,,,,0
2020,Manitoba,2021A000246,Men+,65 years and older,Persons,249,units,0,v468892,8.2.104,101618,,,,0
2020,Manitoba,2021A000246,Women+,65 years and older,Persons,249,units,0,v468893,8.3.104,120898,,,,0
2020,Saskatchewan,2021A000247,Total - gender,65 years and older,Persons,249,units,0,v469206,9.1.104,192121,,,,0
2020,Saskatchewan,2021A000247,Men+,65 years and older,Persons,249,units,0,v469207,9.2.104,89199,,,,0
2020,Saskatchewan,2021A000247,Women+,65 years and older,Persons,249,units,0,v469208,9.3.104,102922,,,,0
2020,Alberta,2021A000248,Total - gender,65 years and older,Persons,249,units,0,v469521,10.1.104,606936,,,,0
2020,Alberta,2021A000248,Men+,65 years and older,Persons,249,units,0,v469522,10.2.104,285409,,,,0
2020,Alberta,2021A000248,Women+,65 years and older,Persons,249,units,0,v469523,10.3.104,321527,,,,0
2020,British Columbia,2021A000259,Total - gender,65 years and older,Persons,249,units,0,v469836,11.1.104,982576,,,,0
2020,British Columbia,2021A000259,Men+,65 years and older,Persons,249,units,0,v469837,11.2.104,459427,,,,0
2020,British Columbia,2021A000259,Women+,65 years and older,Persons,249,units,0,v469838,11.3.104,523149,,,,0
2020,Yukon,2021A000260,Total - gender,65 years and older,Persons,249,units,0,v470151,12.1.104,5758,,,,0
2020,Yukon,2021A000260,Men+,65 years and older,Persons,249,units,0,v470152,12.2.104,2997,,,,0
2020,Yukon,2021A000260,Women+,65 years and older,Persons,249,units,0,v470153,12.3.104,2761,,,,0
2020,Northwest Territories,2021A000261,Total - gender,65 years and older,Persons,249,units,0,v479955,14.1.104,4169,,,,0
2020,Northwest Territories,2021A000261,Men+,65 years and older,Persons,249,units,0,v479956,14.2.104,2143,,,,0
2020,Northwest Territories,2021A000261,Women+,65 years and older,Persons,249,units,0,v479957,14.3.104,2026,,,,0
2020,Nunavut,2021A000262,Total - gender,65 years and older,Persons,249,units,0,v480270,15.1.104,1643,,,,0
2020,Nunavut,2021A000262,Men+,65 years and older,Persons,249,units,0,v480271,15.2.104,867,,,,0
2020,Nunavut,2021A000262,Women+,65 years and older,Persons,249,units,0,v480272,15.3.104,776,,,,0
2021,Canada,2021A000011124,Total - gender,65 years and older,Persons,249,units,0,v466686,1.1.104,7045990,,,,0
2021,Canada,2021A000011124,Men+,65 years and older,Persons,249,units,0,v466687,1.2.104,3248584,,,,0
2021,Canada,2021A000011124,Women+,65 years and older,Persons,249,units,0,v466688,1.3.104,3797406,,,,0
2021,Newfoundland and Labrador,2021A000210,Total - gender,65 years and older,Persons,249,units,0,v467001,2.1.104,123208,,,,0
2021,Newfoundland and Labrador,2021A000210,Men+,65 years and older,Persons,249,units,0,v467002,2.2.104,57716,,,,0
2021,Newfoundland and Labrador,2021A000210,Women+,65 years and older,Persons,249,units,0,v467003,2.3.104,65492,,,,0
2021,Prince Edward Island,2021A000211,Total - gender,65 years and older,Persons,249,units,0,v467316,3.1.104,33293,,,,0
2021,Prince Edward Island,2021A000211,Men+,65 years and older,Persons,249,units,0,v467317,3.2.104,15248,,,,0
2021,Prince Edward Island,2021A000211,Women+,65 years and older,Persons,249,units,0,v467318,3.3.104,18045,,,,0
2021,Nova Scotia,2021A000212,Total - gender,65 years and older,Persons,249,units,0,v467631,4.1.104,217785,,,,0
2021,Nova Scotia,2021A000212,Men+,65 years and older,Persons,249,units,0,v467632,4.2.104,100363,,,,0
2021,Nova Scotia,2021A000212,Women+,65 years and older,Persons,249,units,0,v467633,4.3.104,117422,,,,0
2021,New Brunswick,2021A000213,Total - gender,65 years and older,Persons,249,units,0,v467946,5.1.104,178652,,,,0
2021,New Brunswick,2021A000213,Men+,65 years and older,Persons,249,units,0,v467947,5.2.104,83086,,,,0
2021,New Brunswick,2021A000213,Women+,65 years and older,Persons,249,units,0,v467948,5.3.104,95566,,,,0
2021,Quebec,2021A000224,Total - gender,65 years and older,Persons,249,units,0,v468261,6.1.104,1727292,,,,0
2021,Quebec,2021A000224,Men+,65 years and older,Persons,249,units,0,v468262,6.2.104,797530,,,,0
2021,Quebec,2021A000224,Women+,65 years and older,Persons,249,units,0,v468263,6.3.104,929762,,,,0
2021,Ontario,2021A000235,Total - gender,65 years and older,Persons,249,units,0,v468576,7.1.104,2671337,,,,0
2021,Ontario,2021A000235,Men+,65 years and older,Persons,249,units,0,v468577,7.2.104,1215074,,,,0
2021,Ontario,2021A000235,Women+,65 years and older,Persons,249,units,0,v468578,7.3.104,1456263,,,,0
2021,Manitoba,2021A000246,Total - gender,65 years and older,Persons,249,units,0,v468891,8.1.104,229374,,,,0
2021,Manitoba,2021A000246,Men+,65 years and older,Persons,249,units,0,v468892,8.2.104,104979,,,,0
2021,Manitoba,2021A000246,Women+,65 years and older,Persons,249,units,0,v468893,8.3.104,124395,,,,0
2021,Saskatchewan,2021A000247,Total - gender,65 years and older,Persons,249,units,0,v469206,9.1.104,198565,,,,0
2021,Saskatchewan,2021A000247,Men+,65 years and older,Persons,249,units,0,v469207,9.2.104,92484,,,,0
2021,Saskatchewan,2021A000247,Women+,65 years and older,Persons,249,units,0,v469208,9.3.104,106081,,,,0
2021,Alberta,2021A000248,Total - gender,65 years and older,Persons,249,units,0,v469521,10.1.104,636049,,,,0
2021,Alberta,2021A000248,Men+,65 years and older,Persons,249,units,0,v469522,10.2.104,299834,,,,0
2021,Alberta,2021A000248,Women+,65 years and older,Persons,249,units,0,v469523,10.3.104,336215,,,,0
2021,British Columbia,2021A000259,Total - gender,65 years and older,Persons,249,units,0,v469836,11.1.104,1018096,,,,0
2021,British Columbia,2021A000259,Men+,65 years and older,Persons,249,units,0,v469837,11.2.104,475896,,,,0
2021,British Columbia,2021A000259,Women+,65 years and older,Persons,249,units,0,v469838,11.3.104,542200,,,,0
2021,Yukon,2021A000260,Total - gender,65 years and older,Persons,249,units,0,v470151,12.1.104,6191,,,,0
2021,Yukon,2021A000260,Men+,65 years and older,Persons,249,units,0,v470152,12.2.104,3214,,,,0
2021,Yukon,2021A000260,Women+,65 years and older,Persons,249,units,0,v470153,12.3.104,2977,,,,0
2021,Northwest Territories,2021A000261,Total - gender,65 years and older,Persons,249,units,0,v479955,14.1.104,4403,,,,0
2021,Northwest Territories,2021A000261,Men+,65 years and older,Persons,249,units,0,v479956,14.2.104,2251,,,,0
2021,Northwest Territories,2021A000261,Women+,65 years and older,Persons,249,units,0,v479957,14.3.104,2152,,,,0
